50	
0	10
2	25
2	33
2	34
3	20
4	3
4	24
5	24
5	27
5	32
5	37
6	18
6	22
6	32
7	0
7	10
8	14
8	15
8	33
8	45
9	9
9	12
9	16
9	26
9	35
9	37
11	9
11	12
11	23
12	26
12	48
13	6
13	6
13	32
14	1
14	45
14	45
15	19
15	40
15	45
16	26
16	46
17	3
17	4
17	4
18	31
18	39
19	2
19	8
19	33
19	34
20	17
20	36
21	1
21	11
21	12
21	12
21	14
21	23
21	48
22	1
22	1
22	13
22	23
22	28
22	29
22	49
23	13
23	30
23	47
24	17
24	27
25	2
26	12
27	3
27	4
28	6
28	6
28	10
28	10
28	10
28	18
28	41
29	10
29	10
29	28
30	9
30	11
30	47
31	27
31	42
32	18
32	27
32	31
33	2
33	48
33	48
34	0
34	10
34	15
34	25
34	49
35	20
35	37
35	38
36	3
37	30
37	32
37	35
37	38
37	43
38	17
38	20
38	24
38	38
38	43
39	28
39	44
40	19
40	34
41	7
41	10
42	3
42	18
42	27
42	36
42	39
43	5
43	24
44	7
44	28
44	41
45	1
46	9
46	20
46	35
47	13
47	32
47	37
47	37
48	8
48	14
49	1
49	15
49	29
49	45
49	49
